Timestamp,Dart1,Dart2,Dart3,Total
25/03/2024,12,5,20,37
25/03/2024,1,5,5,11
25/03/2024,20,20,T18,94
25/03/2024,20,20,1,41
25/03/2024,20,1,18,39
25/03/2024,5,D20,1,46
25/03/2024,1,1,1,3
25/03/2024,1,5,5,11
25/03/2024,20,5,18,43
25/03/2024,20,1,1,22
25/03/2024,5,0,T9,32
25/03/2024,1,20,20,41
25/03/2024,T5,1,4,20
25/03/2024,20,T1,20,43
25/03/2024,20,20,20,60
25/03/2024,5,5,20,30
25/03/2024,12,5,1,18
25/03/2024,12,5,20,37
25/03/2024,5,T20,1,66
25/03/2024,T5,20,20,55
25/03/2024,5,20,1,26
25/03/2024,D20,5,T1,48
25/03/2024,12,20,20,52
25/03/2024,T5,5,1,21
25/03/2024,1,20,1,22
25/03/2024,12,1,T20,73
25/03/2024,20,5,20,45
25/03/2024,T5,20,20,55
25/03/2024,20,1,1,22
25/03/2024,5,5,T5,25
25/03/2024,1,T20,20,81
25/03/2024,20,1,5,26
25/03/2024,T5,20,T5,50
25/03/2024,20,1,20,41
25/03/2024,20,5,20,45
25/03/2024,20,1,T20,81
25/03/2024,20,1,T18,75
25/03/2024,20,1,20,41
25/03/2024,5,20,1,26
25/03/2024,1,20,12,33
25/03/2024,1,5,20,26
25/03/2024,T20,20,20,100
25/03/2024,20,5,1,26
25/03/2024,20,12,1,33
25/03/2024,5,1,5,11
25/03/2024,20,20,5,45
25/03/2024,1,20,20,41
25/03/2024,D5,T5,1,26
25/03/2024,14,5,1,20
25/03/2024,12,5,20,37
25/03/2024,T5,20,1,36
25/03/2024,20,D1,5,27
25/03/2024,9,5,5,19
25/03/2024,20,5,20,45
25/03/2024,12,1,20,33
25/03/2024,5,T20,1,66
25/03/2024,20,20,0,40
25/03/2024,0,5,20,25
25/03/2024,5,20,5,30
25/03/2024,T12,20,20,76
25/03/2024,T1,5,20,28
25/03/2024,5,20,1,26
25/03/2024,20,5,20,45
25/03/2024,1,T20,0,61
25/03/2024,12,14,20,46
25/03/2024,20,20,20,60
25/03/2024,20,T20,1,81
25/03/2024,T1,T12,1,40
25/03/2024,20,T12,12,68
25/03/2024,0,T5,0,15
25/03/2024,12,12,20,44
25/03/2024,20,20,5,45
25/03/2024,20,1,12,33
25/03/2024,5,1,20,26
25/03/2024,5,20,20,45
25/03/2024,5,12,T20,77
25/03/2024,20,1,1,22
25/03/2024,5,0,D5,15
25/03/2024,T20,T20,D1,122
25/03/2024,20,1,T20,81
25/03/2024,5,20,1,26
25/03/2024,5,20,20,45
25/03/2024,4,12,5,21
25/03/2024,T20,20,1,81
25/03/2024,5,20,1,26
25/03/2024,T20,20,1,81
25/03/2024,T5,20,5,40
25/03/2024,20,20,0,40
25/03/2024,8,T20,5,73
25/03/2024,18,20,20,58
25/03/2024,20,0,20,40
25/03/2024,5,T20,5,70
25/03/2024,1,T5,5,21
25/03/2024,20,T5,20,55
25/03/2024,18,20,4,42
25/03/2024,5,20,5,30
25/03/2024,T1,20,T5,38
25/03/2024,1,20,1,22
25/03/2024,20,20,14,54
25/03/2024,20,12,12,44
25/03/2024,20,20,18,58
25/03/2024,5,25,20,50
25/03/2024,0,1,1,2
25/03/2024,20,5,T20,85
25/03/2024,5,5,20,30
25/03/2024,5,5,20,30
25/03/2024,20,D20,T18,114
25/03/2024,20,1,5,26
25/03/2024,20,5,20,45
25/03/2024,20,0,20,40
25/03/2024,12,12,20,44
25/03/2024,20,20,5,45
25/03/2024,T20,T20,20,140
26/03/2024,20,5,18,43
26/03/2024,1,5,20,26
26/03/2024,1,20,20,41
26/03/2024,5,5,5,15
26/03/2024,1,5,18,24
26/03/2024,1,1,1,3
26/03/2024,T5,12,1,28
26/03/2024,T5,0,20,35
26/03/2024,5,T20,20,85
26/03/2024,5,D20,0,45
26/03/2024,5,12,20,37
26/03/2024,20,5,5,30
26/03/2024,5,20,1,26
26/03/2024,20,T5,1,36
26/03/2024,20,5,5,30
26/03/2024,20,T20,1,81
26/03/2024,12,20,1,33
26/03/2024,20,20,20,60
26/03/2024,5,5,20,30
26/03/2024,5,12,20,37
26/03/2024,20,20,18,58
26/03/2024,12,20,T5,47
26/03/2024,20,20,5,45
26/03/2024,5,12,20,37
26/03/2024,12,5,5,22
26/03/2024,T5,20,T5,50
26/03/2024,T20,20,1,81
26/03/2024,0,20,20,40
26/03/2024,1,18,1,20
26/03/2024,20,5,1,26
26/03/2024,12,12,5,29
26/03/2024,5,20,20,45
26/03/2024,20,T20,18,98
26/03/2024,0,9,0,9
26/03/2024,1,20,20,41
26/03/2024,18,5,5,28
26/03/2024,T5,20,6,41
26/03/2024,20,5,20,45
26/03/2024,20,5,20,45
26/03/2024,20,20,20,60
26/03/2024,5,12,1,18
26/03/2024,12,20,1,33
26/03/2024,T20,5,20,85
26/03/2024,T20,1,20,81
26/03/2024,12,1,5,18
26/03/2024,1,20,25,46
26/03/2024,0,0,0,0
26/03/2024,20,20,5,45
26/03/2024,5,20,0,25
26/03/2024,5,5,20,30
26/03/2024,5,T5,18,38
26/03/2024,T5,5,20,40
26/03/2024,5,12,20,37
26/03/2024,5,1,5,11
26/03/2024,1,5,12,18
26/03/2024,20,20,1,41
26/03/2024,20,1,20,41
26/03/2024,5,5,12,22
26/03/2024,20,1,5,26
26/03/2024,1,5,20,26
26/03/2024,5,5,20,30
26/03/2024,20,20,5,45
26/03/2024,1,20,20,41
26/03/2024,T20,20,0,80
26/03/2024,12,5,20,37
26/03/2024,12,20,20,52
26/03/2024,1,9,T1,13
26/03/2024,20,1,20,41
26/03/2024,20,12,20,52
26/03/2024,5,1,1,7
26/03/2024,5,11,20,36
26/03/2024,1,T1,5,9
26/03/2024,12,1,5,18
26/03/2024,20,5,1,26
26/03/2024,5,20,0,25
26/03/2024,20,5,1,26
26/03/2024,5,12,12,29
26/03/2024,1,T20,1,62
26/03/2024,1,1,5,7
26/03/2024,9,20,20,49
26/03/2024,20,20,20,60
2024-03-26,5,0,5,10
2024-03-26,12,5,1,18
2024-03-26,5,20,5,30
2024-03-26,5,1,0,6
2024-03-26,T20,5,20,85
2024-03-26,20,20,20,60
2024-03-26,12,T20,20,92
2024-03-26,5,20,0,25
2024-03-26,5,5,0,10
2024-03-26,20,1,T20,81
2024-03-26,20,20,12,52
2024-03-26,5,1,20,26
2024-03-26,20,0,T1,23
2024-03-26,9,T9,20,56
2024-03-26,1,20,5,26
2024-03-26,1,5,5,11
2024-03-26,20,20,1,41
2024-03-26,T20,5,1,66
2024-03-26,20,1,1,22
2024-03-26,20,20,T18,94
2024-03-26,20,T5,5,40
2024-03-26,1,4,1,6
2024-03-26,T1,1,20,24
2024-03-26,0,20,20,40
2024-03-26,5,12,5,22
2024-03-26,20,12,18,50
2024-03-26,18,20,5,43
2024-03-26,20,12,20,52
2024-03-26,5,12,5,22
2024-03-26,18,20,20,58
2024-03-26,5,D5,20,35
2024-03-26,20,5,20,45
2024-04-01,T20,0,20,80
2024-04-01,18,5,5,28
2024-04-01,D5,0,D20,50
2024-04-01,1,1,5,7
2024-04-01,9,20,20,49
2024-04-01,20,20,1,41
2024-04-01,1,1,1,3
2024-04-01,20,D20,12,72
2024-04-01,9,0,1,10
2024-04-01,12,20,20,52
2024-04-01,0,T12,12,48
2024-04-01,5,5,20,30
2024-04-01,9,1,1,11
2024-04-01,5,20,0,25
2024-04-01,20,20,10,50
2024-04-01,20,20,20,60
2024-04-01,12,1,5,18
2024-04-01,12,20,0,32
2024-04-01,12,20,T1,35
2024-04-01,12,20,1,33
2024-04-01,25,5,20,50
2024-04-01,20,12,20,52
2024-04-01,20,20,1,41
2024-04-01,5,20,T20,85
2024-04-01,20,5,5,30
2024-04-01,20,20,20,60
2024-04-01,5,20,20,45
2024-04-01,5,0,T20,65
2024-04-01,5,5,5,15
2024-04-01,20,20,T1,43
2024-04-01,20,12,20,52
2024-04-01,20,0,20,40
2024-04-01,1,5,0,6
2024-04-01,20,20,5,45
2024-04-01,5,5,1,11
2024-04-01,5,D20,12,57
2024-04-01,20,20,20,60
2024-04-01,1,20,20,41
2024-04-01,18,1,20,39
2024-04-01,5,1,T20,66
2024-04-01,20,5,5,30
2024-04-01,1,5,T20,66
2024-04-01,20,5,20,45
2024-04-01,5,20,5,30
2024-04-01,1,5,T1,9
2024-04-01,20,T5,0,35
2024-04-01,20,1,20,41
